[            Date / Time][                File][   TID][            Function][ Line][  Level]: [Message]
[2022.02.04-14:14:59.082][            elog.cpp][125010][                eLog][   37][   INFO]: Logging has been successfully started. Max log file size: 26214400KB
[2022.02.04-14:14:59.099][             sql.cpp][125010][                 Sql][   46][   INFO]: Sql constructor initialized.
[2022.02.04-14:14:59.099][       utilities.cpp][125010][           Utilities][   27][   INFO]: Utilities constructor initialized.
[2022.02.04-14:14:59.099][       utilities.cpp][125010][      WebsocketUtils][   53][   INFO]: WebSocketUtils constructor initialized.
[2022.02.04-14:14:59.099][       websocket.cpp][125010][           Websocket][   15][   INFO]: Websocket constructor initialized. mHost: stream.binance.com, mPort: 9443, mEndpoint: /ws/solbusd@kline_1m.
[2022.02.04-14:14:59.115][       websocket.cpp][125011][                init][   30][   INFO]: Websocket init function.
[2022.02.04-14:14:59.115][       websocket.cpp][125011][                 run][   60][   INFO]: BinanceWebsocket is running.
[2022.02.04-14:14:59.149][       websocket.cpp][125011][          on_resolve][   78][   INFO]: BinanceWebsocket on resolve.
[2022.02.04-14:14:59.500][       websocket.cpp][125011][          on_connect][   98][   INFO]: BinanceWebsocket connected successfully.
[2022.02.04-14:15:00.115][       websocket.cpp][125011][    on_ssl_handshake][  132][   INFO]: BinanceWebsocket SSL handshake did successfully.
[2022.02.04-14:15:00.524][       websocket.cpp][125011][        on_handshake][  166][   INFO]: BinanceWebsocket handshake did successfully.
[2022.02.04-14:15:01.651][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 317
[2022.02.04-14:15:01.651][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 317
[2022.02.04-14:15:02.675][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 316
[2022.02.04-14:15:02.675][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 316
[2022.02.04-14:15:05.235][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 315
[2022.02.04-14:15:05.235][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 315
[2022.02.04-14:15:07.798][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 315
[2022.02.04-14:15:07.798][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 315
[2022.02.04-14:15:10.780][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 315
[2022.02.04-14:15:10.780][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 315
[2022.02.04-14:15:12.915][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 315
[2022.02.04-14:15:12.915][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 315
[2022.02.04-14:15:15.782][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 319
[2022.02.04-14:15:15.782][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 319
[2022.02.04-14:15:18.035][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 320
[2022.02.04-14:15:18.035][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 320
[2022.02.04-14:15:20.083][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 320
[2022.02.04-14:15:20.083][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 320
[2022.02.04-14:15:22.746][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 320
[2022.02.04-14:15:22.746][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 320
[2022.02.04-14:15:24.794][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 320
[2022.02.04-14:15:24.794][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 320
[2022.02.04-14:15:27.767][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 320
[2022.02.04-14:15:27.767][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 320
[2022.02.04-14:15:32.064][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 320
[2022.02.04-14:15:32.064][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 320
[2022.02.04-14:15:34.317][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 320
[2022.02.04-14:15:34.317][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 320
[2022.02.04-14:15:36.877][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 320
[2022.02.04-14:15:36.877][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 320
[2022.02.04-14:15:45.684][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 320
[2022.02.04-14:15:45.684][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 320
[2022.02.04-14:15:48.756][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 320
[2022.02.04-14:15:48.756][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 320
[2022.02.04-14:15:50.804][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 320
[2022.02.04-14:15:50.804][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 320
[2022.02.04-14:15:53.261][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 320
[2022.02.04-14:15:53.261][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 320
[2022.02.04-14:15:55.821][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 320
[2022.02.04-14:15:55.821][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 320
[2022.02.04-14:15:58.791][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 320
[2022.02.04-14:15:58.791][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 320
[2022.02.04-14:16:03.710][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 319
[2022.02.04-14:16:03.710][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 319
[2022.02.04-14:16:05.857][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 306
[2022.02.04-14:16:05.857][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 306
[2022.02.04-14:16:10.158][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 307
[2022.02.04-14:16:10.158][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 307
[2022.02.04-14:16:12.820][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 309
